Sector_ID,Latitude,Longitude,Azimuth,TA,Target,Popu_Type,Datetime,Province,Vendor,Total_Payload_GB,Total_DL_Payload(GB),UserThroughput,DL_Spectral_efficiency,Average_Reported_CQI,DL_PRB_UTILIZATION,Sector_Bandwidth(MHz),cell_availability_include_manual_blocking,ConnectedUser,PPM,UPM,Day,Hour,Label,OS
TH1248B,35.72436,51.48947,130,0.4669444285714285,1,Residential,2022-12-13 23:00:00,TH,Huawei,29.262,26.88,13.893,1.403,8.597,63.075,75.0,100.0,223.092,0.3584,2.9745600000000003,Tuesday,23.0,City Capacity,0.0
TH1248A,35.72436,51.48947,15,0.5385192857142858,1,Residential,2022-12-13 23:00:00,TH,Huawei,16.869,15.044,15.9,1.086,8.139,45.605,75.0,100.0,132.973,0.20058666666666666,1.7729733333333335,Tuesday,23.0,City Capacity,0.0
TH1258D,35.61269,51.49215,330,0.8513769800901032,1,Residential,2022-12-13 23:00:00,TH,Ericsson,14.558,13.274,10.427,1.121,7.854,38.993,75.0,100.0,124.1095,0.17698666666666665,1.6547933333333333,Tuesday,23.0,City Capacity,0.0
TH1261B,35.48869,51.67486,210,0.6899078341013825,1,Residential,2022-12-12 23:00:00,TH,Ericsson,31.652,29.337,9.268,3.15,8.886,61.332,75.0,100.0,188.9195,0.39116,2.5189266666666668,Monday,23.0,City Capacity,0.0
TH1262A,35.66901,51.36144,30,0.3457395498392283,1,Residential,2022-12-12 23:00:00,TH,Ericsson,4.991,4.424,15.108,1.965,8.411,14.829,75.0,100.0,46.378,0.05898666666666667,0.6183733333333333,Monday,23.0,City Capacity,0.0
TH1262B,35.66901,51.36144,170,0.6158945686900958,1,Residential,2022-12-12 23:00:00,TH,Ericsson,7.931,6.893,10.81,2.035,7.585,22.32,75.0,100.0,82.436,0.09190666666666666,1.0991466666666667,Monday,23.0,City Capacity,0.0
TH1273C,35.66079,51.36234,280,0.6628495731527819,1,Residential,2022-12-10 23:00:00,TH,Ericsson,26.963,24.465,11.761,1.386,8.625,58.14,75.0,100.0,179.132,0.3262,2.3884266666666667,Saturday,23.0,City Capacity,0.0
TH1276C,35.73828,51.56473,290,0.3478831428571428,1,Residential,2022-12-13 23:00:00,TH,Huawei,34.504,31.529,10.364,1.434,8.348,72.389,75.0,100.0,245.596,0.4203866666666667,3.2746133333333334,Tuesday,23.0,City Capacity,0.0
TH1277A,35.74376,51.56026,45,0.4071298571428572,1,Residential,2022-12-10 23:00:00,TH,Huawei,26.957,24.225,11.512,1.291,8.952,61.79,75.0,100.0,221.018,0.323,2.9469066666666666,Saturday,23.0,City Capacity,0.0
TH1280B,35.74801,51.55735,230,0.4206762857142857,1,Residential,2022-12-14 23:00:00,TH,Huawei,40.202,37.089,4.432,1.315,8.283,92.835,75.0,100.0,341.084,0.49451999999999996,4.547786666666667,Wednesday,23.0,City Capacity,0.0
TH1281A,35.75641,51.55293,85,0.6354692857142856,1,Residential,2022-12-14 23:00:00,TH,Huawei,38.234,35.122,12.244,1.546,9.11,74.781,75.0,100.0,301.58,0.46829333333333334,4.021066666666666,Wednesday,23.0,City Capacity,0.0
TH1282B,35.75733,51.52333,165,0.3996455714285715,1,Residential,2022-12-14 23:00:00,TH,Huawei,44.313,39.985,7.367,1.47,8.615,89.568,75.0,100.0,363.441,0.5331333333333333,4.845879999999999,Wednesday,23.0,City Capacity,0.0
TH1283B,35.75382,51.51384,150,0.5500127142857143,1,Residential,2022-12-12 23:00:00,TH,Huawei,41.185,37.313,5.658,1.331,8.159,92.319,75.0,100.0,333.247,0.4975066666666667,4.443293333333333,Monday,23.0,City Capacity,0.0
TH1284C,35.75503,51.50158,250,0.4703768571428572,1,Residential,2022-12-13 23:00:00,TH,Huawei,45.795,41.778,7.531,1.584,8.875,86.836,75.0,100.0,319.189,0.55704,4.2558533333333335,Tuesday,23.0,City Capacity,0.0
TH1284A,35.75503,51.50158,60,0.6283904285714287,1,Residential,2022-12-13 23:00:00,TH,Huawei,13.912,12.965,10.606,0.816,7.249,52.298,75.0,100.0,110.983,0.17286666666666667,1.4797733333333334,Tuesday,23.0,City Capacity,0.0
TH1286C,35.63902,51.39991,350,0.6282306953572823,1,Residential,2022-12-14 23:00:00,TH,Ericsson,43.016,38.398,2.221,1.332,8.179,94.933,75.0,100.0,445.3515,0.5119733333333334,5.93802,Wednesday,23.0,City Capacity,0.0
TH1299C,35.7498,51.51562,235,0.4837898571428572,1,Residential,2022-12-12 23:00:00,TH,Huawei,37.087,34.242,11.002,1.362,8.432,82.738,75.0,100.0,277.753,0.45655999999999997,3.703373333333333,Monday,23.0,City Capacity,0.0
TH1304A,35.70301383,51.35431667,110,0.7288810328927144,1,Residential,2022-12-12 23:00:00,TH,Ericsson,25.628,23.115,21.662,3.946,10.449,38.576,75.0,100.0,233.006,0.3082,3.1067466666666665,Monday,23.0,City Capacity,0.0
TH1306A,35.78299,51.49696,5,0.6838118571428571,1,Residential,2022-12-13 23:00:00,TH,Huawei,42.683,39.581,9.422,1.613,9.411,80.794,75.0,100.0,299.708,0.5277466666666667,3.996106666666667,Tuesday,23.0,City Capacity,0.0
TH1307C,35.69414,51.36555,300,0.8017471958584987,1,Residential,2022-12-12 23:00:00,TH,Ericsson,26.899,23.632,2.73,1.727,7.578,90.166,75.0,100.0,302.558,0.31509333333333334,4.034106666666666,Monday,23.0,City Capacity,0.3967020728686612
TH1314B,35.75062,51.50678,185,0.4293218571428571,1,Residential,2022-12-14 23:00:00,TH,Huawei,21.93,20.553,20.372,1.601,9.149,42.275,75.0,100.0,113.834,0.27404,1.5177866666666666,Wednesday,23.0,City Capacity,0.0
TH1314A,35.75062,51.50678,10,0.6271808571428571,1,Residential,2022-12-13 23:00:00,TH,Huawei,8.343,7.603,19.558,1.132,8.816,22.107,75.0,100.0,76.057,0.10137333333333333,1.0140933333333333,Tuesday,23.0,City Capacity,0.0
TH1318C,35.75675,51.52765,330,0.6326777142857143,1,Residential,2022-12-14 23:00:00,TH,Huawei,43.76,40.723,10.548,1.641,8.862,81.699,75.0,100.0,314.917,0.5429733333333333,4.198893333333333,Wednesday,23.0,City Capacity,0.0
TH1321A,35.73336,51.55249,100,0.4443527142857142,1,Residential,2022-12-14 23:00:00,TH,Huawei,35.193,32.407,10.166,1.32,8.948,80.824,75.0,100.0,235.928,0.4320933333333333,3.1457066666666664,Wednesday,23.0,City Capacity,0.0
